code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
7993	7	8	18	7	11	5	4	7	14	20	0	57.40%	54	23	42.95	0
8527	9	15	17	20	18	16	15	7	0	12	0	73.30%	87	76	77.12	2.3
8545	10	15	18	16	17	17	15	10	13	20	0	85.80%	88	67	78.72	2.5
8670	10	16	20	19	20	18	19	9	20	20	0	97.20%	92	84	90.86	3.5
8812	10	13	12	12	10	6	9	0	0	15	0	49.40%	55	0	30.77	0
9118	7	14	18	16	16	17	17	8	18	20	0	85.80%	88	63	77.12	2.3
9163	9	16	18	13	17	15	15	6	13	20	0	80.70%	74	47	65.87	1.4
9339	6	15	18	14	15	12	12	8	14	18	0	75.00%	90	89	83.6	2.9
9370	10	16	20	19	18	16	18	7	16	12	0	86.40%	84	80	83.35	2.9
9395	10	16	20	19	19	18	20	9	15	20	0	94.30%	91	87	90.73	3.5
9568	8	15	20	18	18	16	20	9	16	20	0	90.90%	94	93	92.36	3.6
9713	9	15	0	12	0	0	0	0	0	0	0	20.50%	0	0	8.18	0
9756	9	16	20	16	16	18	18	10	18	20	0	91.50%	92	85	88.99	3.4
9885	10	16	19	0	14	16	14	6	3	18	0	65.90%	74	72	69.96	1.7
10001	9	15	18	18	16	17	15	10	19	20	0	89.20%	87	80	85.08	3
10296	10	13	13	18	17	0	0	0	0	20	0	51.70%	84	0	37.48	0
10509	8	16	19	17	11	11	14	9	16	18	0	79.00%	61	63	68.99	1.6
10738	9	16	19	18	18	17	19	9	16	20	0	91.50%	91	89	90.39	3.5
10829	9	14	19	14	14	18	18	7	15	20	0	84.10%	88	81	83.64	2.9
10863	10	15	19	18	19	18	18	8	14	20	2.67	91.90%	93	79	86.94	3.2
11004	10	16	18	20	18	20	20	10	16	20	0	95.50%	89	79	87.58	3.2
11204	8	16	20	17	19	18	19	7	16	20	0	90.90%	72	53	71.96	1.9
11349	9	16	13	19	16	19	18	9	18	20	0	89.20%	84	63	77.68	2.4
11884	9	16	20	19	17	19	16	7	14	20	0	89.20%	92	82	86.88	3.2
11920	9	15	17	13	18	0	16	5	12	20	0	71.00%	77	64	69.41	1.7
11952	10	14	20	19	19	17	18	9	17	20	3	94.30%	88	85	89.33	3.4
11953	9	16	20	18	18	17	18	9	16	20	3	93.20%	64	60	74.07	2.1
12012	8	14	19	18	18	20	17	8	21	20	0	92.60%	75	65	78.05	2.4
12098	10	16	19	18	15	20	18	8	18	18	0	90.90%	92	85	88.76	3.3
12132	9	14	15	18	17	16	19	7	10	20	0.33	82.60%	85	81	82.43	2.8
12172	9	10	20	19	19	19	17	9	20	20	2.33	93.40%	71	62	76.35	2.3
12529	10	16	14	18	18	18	16	3	16	20	0	84.70%	82	78	81.46	2.7
12755	9	16	20	19	17	17	18	9	19	20	0	93.20%	86	88	89.67	3.4
12920	10	16	18	18	16	0	0	0	0	12	0	51.10%	89	39	53.85	0
12939	9	15	20	19	17	19	18	9	20	20	0	94.30%	94	89	92.13	3.6
13129	9	15	15	16	16	14	16	5	17	20	0	81.30%	95	75	81.5	2.7
13260	10	16	20	18	17	16	18	9	15	20	0	90.30%	86	86	87.74	3.3
13845	9	15	20	18	18	17	15	10	16	20	0	89.80%	88	77	84.31	3
13938	9	16	20	17	20	16	20	9	18	20	1	94.30%	83	89	89.93	3.4
14055	10	15	20	17	18	18	18	10	18	20	0	93.20%	87	64	80.27	2.6
14063	10	16	20	19	16	17	17	8	19	20	0.33	92.20%	81	88	88.29	3.3
14413	10	15	20	20	19	20	19	10	18	20	0	97.20%	89	82	89.46	3.4
14770	10	16	19	20	17	14	18	8	15	20	0	89.20%	87	80	85.08	3
14860	8	16	20	14	18	19	20	7	17	20	0	90.30%	93	82	87.54	3.2
14867	9	16	20	16	17	15	17	9	17	20	0	88.60%	88	80	85.05	3
14991	10	16	20	17	17	19	20	8	17	20	0	93.20%	85	80	86.27	3.1
15275	9	16	20	18	19	18	17	9	18	20	0	93.20%	79	68	80.27	2.6
15309	9	16	20	17	18	18	16	10	17	20	0	91.50%	79	82	85.19	3
15341	8	14	8	9	16	16	18	7	16	20	0.33	75.20%	87	50	67.48	1.5
15343	10	14	13	13	15	14	0	0	0	20	0	56.30%	73	35	51.1	0
15364	9	16	20	19	19	18	18	8	18	20	2.67	95.30%	92	101	96.91	4
15373	10	15	20	16	18	20	20	10	21	20	0	96.60%	97	80	90.04	3.5
15389	10	16	20	19	17	19	18	9	19	20	1	95.50%	93	100	96.78	4
15395	8	15	20	17	19	18	20	10	17	20	0	93.20%	101	82	90.27	3.5
15435	6	15	11	0	0	5	16	4	16	20	0	52.80%	66	26	44.74	0
15489	8	14	11	16	15	12	0	7	0	20	0	58.50%	90	59	65.01	1.3
15521	10	15	20	17	16	17	18	9	17	20	0	90.30%	85	77	83.94	2.9
15523	8	15	20	20	19	20	17	10	21	20	1	97.20%	100	94	96.46	3.9
15524	10	16	17	19	17	20	18	10	17	20	3	94.90%	86	99	94.75	3.8
15732	8	15	14	17	17	19	19	9	17	20	3	89.80%	88	94	91.11	3.5
15885	10	16	20	19	19	19	20	8	21	20	3	99.40%	97	101	99.57	4
15916	10	16	20	18	17	17	20	8	18	20	3	94.90%	66	47	69.95	1.7
